Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=og33B-umxe4,inappropriate,Display of weapons,"ad for maya software, a 3d animation/modeling software. while the software is not harmful, it has depictions of violence and weapons display",Mild
https://www.youtube.com/watch?v=m0YK5hKBAP8,child directed,Toys,ad depicting different doll houses and dolls for children,
https://www.youtube.com/watch?v=diN58Umvr2w,child directed,Toys,plush toys aimed at kids.,
https://www.youtube.com/watch?v=YC2GjFE6-D4,child directed,Toys,kids drink maker. art and music very kid oriented,
https://www.youtube.com/watch?v=UbS3ijGc9HE,irrelevant,Fashion,jewlery ad. depics women wearing different jeweleries,
https://www.youtube.com/watch?v=mManLnHyyek,irrelevant,Software,"squarespace, an ad showing people walking in a desert talking about sqarespace and how it is a website that makes websites",
https://www.youtube.com/watch?v=dDCQ4xojKFE,irrelevant,Travel & Adventure,ad depicting a swiss city that is heavily influenced by music,
https://www.youtube.com/watch?v=eV3JbluDOEI,irrelevant,Software,testimonial by a women who has a yoga based website,
https://www.youtube.com/watch?v=T367E4I0n74,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service",
https://www.youtube.com/watch?v=Sk7zpdu7Yrc,child directed,Toys,ad about a toy collection. is a series of animations where the characters have the ability to transform,
https://www.youtube.com/watch?v=an-96DZu5uk,child directed,Toys,ad about toy cars and their tracks. shows children making tracks and racing their toy cars,
https://www.youtube.com/watch?v=Cb-3pBLqV_0,child directed,Toys,ad depicting toy dolls. the video contains a story of a doll looking for objects and cat figurines also playing,
https://www.youtube.com/watch?v=olrEPh0AQrI,child directed,Toys,ad depicting toy dolls and children playing with them,
https://www.youtube.com/watch?v=HS0iDUzk-pc,child directed,Toys,ad depicting kids making lego style buildings inspired by pokemon,
https://www.youtube.com/watch?v=TA-hCkhysbE,irrelevant,Home and Lifestyle,tide pod type detergent for cleaning bathrooms. shows a clean flush an a person advocating for it,
https://www.youtube.com/watch?v=VXWtScDseJQ,child directed,Movies,movie showing the popular nintendo charater mario,
https://www.youtube.com/watch?v=-vYL4Nkmjx0,irrelevant,Software,"squarespace, an ad showing people walking in a desert around a cactus talking about sqarespace and how it is a website that makes websites",
https://www.youtube.com/watch?v=B1zyJGOr5-s,irrelevant,Software,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service",
https://www.youtube.com/watch?v=MrnSxNHwIP8,child directed,Toys,ad depicting toy dolls and children playing with them,
