Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=yWXANMPFT_I,irrelevant,Machinery,,Ad for titanium lug bolts
https://www.youtube.com/watch?v=Nr4-FT6HcBA,inappropriate,Display of weapons,Moderate,"handcuffs, fire, smoke, sensual dance-ish, gun"
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,,Adpated Mind ad
https://www.youtube.com/watch?v=Wyp75h7fKcY,irrelevant,Software,,epidemic sound testinmonial - royalty free soundtrack company
https://www.youtube.com/watch?v=m68WZ7Ky5Ys,excluded,,,Navratri Special-Day 4 - Kushmanda Mata | कुष्मांडा माता | Khushboo Jain 
https://www.youtube.com/watch?v=HFbk28PseGw,irrelevant,Physical Violence,Mild,malyalam movie trailer
https://www.youtube.com/watch?v=cHBdQ3pc2EM,irrelevant,Music & Performance,,"(FREE) Gunna x Future x Roddy Ricch Type Beat ""Solitary"""
https://www.youtube.com/watch?v=SreCPtk4sHA,irrelevant,Software,,Grammarly ad
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,Extreme,Lil Pump - I Don't Mind (bad words!!)
https://www.youtube.com/watch?v=TzcNMY2jFuI,irrelevant,Music & Performance,,"Free Instrumental best - Afro Beat ,Afro Pob banger sound good"
https://www.youtube.com/watch?v=7rr2CXvHZZE,inappropriate,Physical Violence,Extreme,"guns, violence, bad language - malyalam movie trailer"
https://www.youtube.com/watch?v=VbTGAvAYaQY,irrelevant,Tech & Gadgets,,TCL S5400A 2K HD Android TV: The Ultimate Entertainment Hub for Your Home -> review of a smart TV
https://www.youtube.com/watch?v=wiCoUwtw7l4,inappropriate,Interpersonal Violence,Extreme,"abuse, suicide, gunshot"
https://www.youtube.com/watch?v=2QH0bKkTJ_U,irrelevant,Home and Office,,"NG Appliances: stove, fridge etc"
https://www.youtube.com/watch?v=fnMwCP9Wljo,inappropriate,Display of weapons,,toy gun used to threaten
https://www.youtube.com/watch?v=JBD7AwJ5O5c,inaudible,,,looks like a video template of some sorts
https://www.youtube.com/watch?v=lTbTfNXyd6U,irrelevant,Software,,PresenterGPT by automate.video
https://www.youtube.com/watch?v=Z7RRjkCbwAM,inappropriate,Sexual content,Extreme,inappropriate starting scene with lady sleeping and weird dance moves
https://www.youtube.com/watch?v=1DuL5lSFyc4,irrelevant,Music & Performance,,turkish music video
https://www.youtube.com/watch?v=EFIFazsqKlw,irrelevant,Machinery,,Sustainable building technology
https://www.youtube.com/watch?v=o610FL7wO_E,inappropriate,Intimacy,Moderate,"hindi musci vide, lots of scenes with a lot of physical touch"
https://www.youtube.com/watch?v=n7J8GWsP-6M,irrelevant,Software,,online shop for cycling stuff; poli.fr
https://www.youtube.com/watch?v=7rOsmloDGWk,irrelevant,Software,,online shop for cycling stuff; poli.fr
https://www.youtube.com/watch?v=hRyFE5xFjfY,irrelevant,Software,,online shop for cycling stuff; poli.fr
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,-,ad pertains to a math game for kids
https://www.youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,-,ad pertains to SSL and Godaddy; mention of hackers/hacking may be of issue
https://www.youtube.com/watch?v=4XSEnq1rEpw,inaudible,Different Language,-,ad pertains to a music video in a different language
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,-,ad pertians to a math game containing cartoons(similar to row 16)
https://www.youtube.com/watch?v=3ZwSvEx-txQ,irrelevant,Fashion,-,ad pertaining to Stylo's summer shoe collection for women; irrelevant for children; could be relevant for teens
https://www.youtube.com/watch?v=dN1ZqEuvVGQ,inappropriate,Physical Violence,extreme,ad pertains to a music video; shows people being slashed with knives
https://www.youtube.com/watch?v=0LbnsXgE8ro,irrelevant,Cooking and Food,-,ad pertains to twisto candy and shows students dancing while eating the candy; could be classified as teen directed
https://www.youtube.com/watch?v=8wzQ-zcvymQ,inappropriate,Sexual content,moderate,ad pertains to a movie trailer in Telgu(different language). Depecits kissing and explicit romance unsuitable for children
https://www.youtube.com/watch?v=abygu2s6RdY,inappropriate,Inappropriate Clothing,mild,"ad pertains to celebrities discussing prominent music celebs and bands (which is largely irrelevant), but a few frames depict inappropriate clothing unsuitable for children"
https://www.youtube.com/watch?v=RkL3YP2usOE,irrelevant,Software,-,ad pertains to getting professional emails from Godaddy
https://www.youtube.com/watch?v=esTnkv6WfF8,inaudible,Different Language,-,ad pertains to Becky G's  performance of MAMII
https://www.youtube.com/watch?v=FdIZnn-oUaU,inaudible,Different Language,-,ad pertains to a Gujraati music video
https://www.youtube.com/watch?v=DDB3hb2Opts,irrelevant,Sports & Athletics,-,ad pertains to PSL8's highlights and important player statistics
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,-,ad pertians to a math game containing cartoons
https://www.youtube.com/watch?v=sWDtg2UjFP0,excluded,,-,"ad pertains to kids singing about the Month of Ramadan, and encourages fasting "
https://www.youtube.com/watch?v=OwQNnCD5WFs,irrelevant,Machinery,-,ad pertains to Gastac's machinery
https://www.youtube.com/watch?v=EW9CtqXZGFg,irrelevant,Comedy & Entertainment,-,ad pertains to Billboard New's interview of a celebrity
https://www.youtube.com/watch?v=Ucog1ghGMUM,irrelevant,Machinery,-,ad pertains to Tisco Steel
https://www.youtube.com/watch?v=l924xlPeY4s,inappropriate,Display of weapons,High,ad pertains to a music video that displays a gun along with frames depicting intimate scenes unsuitable for children; also contains a different language
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,-,ad pertains to Shopify's online services
https://www.youtube.com/watch?v=c7kUBqwvuQg,irrelevant,Software,-,ad pertains to Waalaxy which automates Linkedin lead generation 
https://www.youtube.com/watch?v=ae0zme6bVLo,inappropriate,Sexual content,Moderate,ad pertains to a music video that contains sexualized content
https://www.youtube.com/watch?v=ulN4LSNaluo,excluded,,-,ad pertians to a music video consisting of people dancing and praising a hindu deity
https://www.youtube.com/watch?v=gRIsS2GwuBA,irrelevant,Software,-,ad pertains to domain registeration on Godaddy
https://www.youtube.com/watch?v=wMKvGAHJ-t4,irrelevant,Software,-,ad pertains to a 'we'll be back after this ad' transition
https://www.youtube.com/watch?v=CxftomuwufY,inappropriate,"Drinking, drugs, smoking",Moderate,ad pertains to a music video in a different language; contains depiction of alcohol along with a frames containing sexual suggestiveness
https://www.youtube.com/watch?v=Hxy0AEktdaQ,irrelevant,Software,-,ad pertains to an outro transition
https://www.youtube.com/watch?v=I2ow-rS4RAo,child directed,Play and Adventure,-,ad pertains to a Trampoline Park for kids
https://www.youtube.com/watch?v=J6TcbAKKbgs,irrelevant,Travel & Adventure,-,ad pertains to tourism in Uttarakhand
https://www.youtube.com/watch?v=_R_Z9uKGrqw,irrelevant,Machinery,-,ad pertains to a Capacitance Level Transmitter 
https://www.youtube.com/watch?v=Iv0YRb3KHVE,inappropriate,Intimacy,Low,ad pertains to a music video; romantic theme prevalant; contains inherent romantic context
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,-,"ad pertains to xpression camera, an application that allows the user to make faces in images mirror their expressions"
https://www.youtube.com/watch?v=K85_2vMRdS0,irrelevant,Music & Performance,-,"ad pertains to a music audio called ""Can't Tame Her"""
https://www.youtube.com/watch?v=T367E4I0n74,irrelevant,Software,-,ad pertains to professional writing using Grammarly
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,-,ad pertains to domain registeration on Godaddy
