Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=CdOk8w8MXo8,irrelevant,Software,loFi Beatmaker,
https://www.youtube.com/watch?v=nmtn4cpg3lQ,irrelevant,Home and Lifestyle,offers on furniture,
https://www.youtube.com/watch?v=bcpcUv4KIxU,inappropriate,Intimacy,physical and non physical intimacy,Mild
https://www.youtube.com/watch?v=pjK-olc0GFc,irrelevant,Tech & Gadgets,printer ad,
https://www.youtube.com/watch?v=8M-tXjPGOB4,irrelevant,Music & Performance,llyrical music video,
https://www.youtube.com/watch?v=9B4bicaxgLM,inappropriate,Gambling,display of casinos and chips,Moderate
https://www.youtube.com/watch?v=kjCExokb8z0,inappropriate,Intimacy,"physical intimacy, relationships",Moderate
https://www.youtube.com/watch?v=8XxFPSUKWrM,irrelevant,Tech & Gadgets,mobile service ad,
https://www.youtube.com/watch?v=si0FrZabezw,irrelevant,Music & Performance,freestyle type beat,
https://www.youtube.com/watch?v=UbKoyCSNjyE,inappropriate,Sexual content,,Extreme
https://www.youtube.com/watch?v=-6dleqTJs0o,inaudible,Different Language,"punjabi song, but not much understandable punjabi",
https://www.youtube.com/watch?v=ERkcPIVSnaI,irrelevant,Home and Lifestyle,furniture ,
https://www.youtube.com/watch?v=AFDe2rgqv08,irrelevant,Sexual content,"nudity, sexual display",Extreme
https://www.youtube.com/watch?v=sTan9wyzNfw,irrelevant,Personal Care & Beauty,women sanitary pads,
https://www.youtube.com/watch?v=thb989XedXg,irrelevant,Tech & Gadgets,usb drive for data security,
https://www.youtube.com/watch?v=67q59zxx8xE,inappropriate,Gambling,ad about a betting platform for betting on cricket matches,Moderate
https://www.youtube.com/watch?v=s8UBhncev2A,excluded,,private,
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,math and story driven ad game. shows an animation of two catoons interacting and playing together,
https://www.youtube.com/watch?v=D25XFwlPxhU,irrelevant,Home and Lifestyle,ad about animated bathroom items being augmented by an air freshner,
https://www.youtube.com/watch?v=IqX7dda9w4I,child directed,Educational Content,ad shows children how to draw the sun,
https://www.youtube.com/watch?v=1Tz5ddp6_CU,child directed,Educational Content,ad about a child exploring turkey,
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,Shopify ad for product management. Not aimed at kids.,
https://www.youtube.com/watch?v=AYiAJnzFILc,inappropriate,Display of weapons,music video showing gangs/ display of guns (rifles) firing ,Extreme
https://www.youtube.com/watch?v=V7vbNsPTJ2I,irrelevant,Tech & Gadgets,ad about a deal on consumer tvs,
