Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=i--qBLB_Wfg,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to The Four Season's Resort; shows a couple drinking
https://www.youtube.com/watch?v=wYnB2Nwc9OA,irrelevant,Software,-,ad pertains to UPay Bangladesh
https://www.youtube.com/watch?v=-IbeQn7o5tI,irrelevant,Travel & Adventure,-,ad pertains to Turkish airlines
https://www.youtube.com/watch?v=1tTqBVw8Wyk,irrelevant,Cooking and Food,-,ad pertains to spices for Bengali cuisine; displays Eid Mubarak towards the end
https://www.youtube.com/watch?v=hfgPlWQim4U,irrelevant,Cooking and Food,-,ad ertains to Bisk Club's dry cake biscuits
https://www.youtube.com/watch?v=zBRQ8r1IfmA,inappropriate,Gambling,mild,"ad pertains to 22Bet, an online betting platform"
https://www.youtube.com/watch?v=PiubytzLmOE,irrelevant,Cooking and Food,-,ad pertains to a soda drink
https://www.youtube.com/watch?v=J8BCHk8qoFI,irrelevant,Health and Wellness,-,ad pertains to StaySafe's sanitary napkins; could also be considered teen directed
https://www.youtube.com/watch?v=yA7Nffk-p84,child directed,Toys,-,ad pertains to Jim and Jolly's tricycles for children; ad is animated
https://www.youtube.com/watch?v=cMIP6itbQZs,irrelevant,Tech & Gadgets,-,ad pertains to a camera company; text is in Spanish
